Barrio;PrecioM2;variacionMes;variacionTrimestre;variacionAnual;maximoHist;mes;anyo;variacionMax
Arganzuela;4.030;-0,7;-1,6;0,4;4.096;7;2019;-1,6
Barajas;3.154;1,4;-0,2;3,7;3.663;3;2009;-13,9
Carabanchel;2.227;1,7;3,2;5,6;3.173;6;2007;-29,8
Centro;5.010;0,3;-0,7;0,8;5.069;3;2019;-1,2
Chamartín;5.043;1,3;2,0;-2,5;5.216;11;2018;-3,3
Chamberí;5.298;-0,6;-0,2;-0,6;5.347;8;2019;-0,9
Ciudad Lineal;3.086;-0,5;-0,7;4,9;3.578;10;2007;-13,8
Fuencarral - El Pardo;3.507;0,8;2,0;6,0;3.726;5;2008;-5,9
Hortaleza;3.701;-0,1;-0,7;-0,3;3.806;12;2007;-2,8
Latina;2.315;1,0;1,7;1,6;3.019;11;2007;-23,3
Moncloa - Aravaca;3.947;1,3;0,4;3,5;4.012;12;2008;-1,6
Moratalaz;2.566;-1,1;-1,9;5,7;2.718;9;2009;-5,6
Puente de Vallecas;1.960;0,4;2,3;7,8;2.942;4;2008;-33,4
Retiro;4.603;0,7;0,1;2,7;4.669;5;2019;-1,4
Salamanca;5.916;2,2;1,0;3,8;5.916;10;2019;0,0
San Blas - Canillejas;2.533;0,0;-0,5;0,5;3.603;11;2007;-29,7
Tetuán;3.715;0,0;0,3;3,5;3.857;12;2007;-3,7
Usera;2.019;-1,1;-1,2;1,6;3.110;11;2007;-35,1
Vicálvaro;2.286;2,5;2,7;9,0;2.656;11;2010;-13,9
Villa de Vallecas;2.421;0,7;0,3;5,9;2.955;5;2008;-18,1
Villaverde;1.711;-0,1;-0,3;6,5;2.900;2;2008;-41,0
